versie,cost,counter
Greedy,30,0
Greedy,22,1
Greedy,22,2
Greedy,26,3
Greedy,22,4
Greedy,22,5
Greedy,24,6
Greedy,22,7
Greedy,24,8
Greedy,22,9
Greedy,24,10
Greedy,22,11
Greedy,24,12
Greedy,28,13
Greedy,22,14
Greedy,22,15
Greedy,24,16
Greedy,24,17
Greedy,24,18
Greedy,24,19
Greedy,24,20
Greedy,22,21
Greedy,22,22
Greedy,24,23
Greedy,24,24
Greedy,24,25
Greedy,22,26
Greedy,22,27
Greedy,24,28
Greedy,30,29
Greedy,22,30
Greedy,28,31
Greedy,22,32
Greedy,22,33
Greedy,22,34
Greedy,24,35
Greedy,22,36
Greedy,22,37
Greedy,22,38
Greedy,24,39
Greedy,22,40
Greedy,22,41
Greedy,22,42
Greedy,24,43
Greedy,22,44
Greedy,22,45
Greedy,24,46
Greedy,24,47
Greedy,26,48
Greedy,22,49


GreedyPopulation,24,0
GreedyPopulation,22,1
GreedyPopulation,22,2
GreedyPopulation,26,3
GreedyPopulation,22,4
GreedyPopulation,22,5
GreedyPopulation,22,6
GreedyPopulation,24,7
GreedyPopulation,22,8
GreedyPopulation,24,9
GreedyPopulation,22,10
GreedyPopulation,24,11
GreedyPopulation,24,12
GreedyPopulation,22,13
GreedyPopulation,28,14
GreedyPopulation,22,15
GreedyPopulation,22,16
GreedyPopulation,24,17
GreedyPopulation,24,18
GreedyPopulation,24,19
GreedyPopulation,22,20
GreedyPopulation,22,21
GreedyPopulation,24,22
GreedyPopulation,26,23
GreedyPopulation,22,24
GreedyPopulation,22,25
GreedyPopulation,22,26
GreedyPopulation,22,27
GreedyPopulation,24,28
GreedyPopulation,22,29
GreedyPopulation,24,30
GreedyPopulation,24,31
GreedyPopulation,22,32
GreedyPopulation,22,33
GreedyPopulation,22,34
GreedyPopulation,22,35
GreedyPopulation,22,36
GreedyPopulation,22,37
GreedyPopulation,22,38
GreedyPopulation,22,39
GreedyPopulation,24,40
GreedyPopulation,22,41
GreedyPopulation,22,42
GreedyPopulation,22,43
GreedyPopulation,22,44
GreedyPopulation,22,45
GreedyPopulation,22,46
GreedyPopulation,22,47
GreedyPopulation,26,48
GreedyPopulation,22,49


GreedyLength,22,0
GreedyLength,26,1
GreedyLength,24,2
GreedyLength,24,3
GreedyLength,24,4
GreedyLength,22,5
GreedyLength,22,6
GreedyLength,24,7
GreedyLength,28,8
GreedyLength,26,9
GreedyLength,22,10
GreedyLength,22,11
GreedyLength,22,12
GreedyLength,22,13
GreedyLength,22,14
GreedyLength,22,15
GreedyLength,22,16
GreedyLength,30,17
GreedyLength,22,18
GreedyLength,22,19
GreedyLength,22,20
GreedyLength,28,21
GreedyLength,22,22
GreedyLength,24,23
GreedyLength,22,24
GreedyLength,22,25
GreedyLength,22,26
GreedyLength,24,27
GreedyLength,22,28
GreedyLength,22,29
GreedyLength,22,30
GreedyLength,22,31
GreedyLength,24,32
GreedyLength,30,33
GreedyLength,22,34
GreedyLength,22,35
GreedyLength,28,36
GreedyLength,22,37
GreedyLength,22,38
GreedyLength,24,39
GreedyLength,22,40
GreedyLength,22,41
GreedyLength,22,42
GreedyLength,22,43
GreedyLength,22,44
GreedyLength,24,45
GreedyLength,22,46
GreedyLength,30,47
GreedyLength,22,48
GreedyLength,22,49
