versie,cost,counter
Greedy,1062892,0
Greedy,989401,1
Greedy,1572470,2


GreedyPopulation,1053768,0
GreedyPopulation,915710,1
GreedyPopulation,500591,2


GreedyLength,791503,0
GreedyLength,520014,1
GreedyLength,1363181,2
