versie,cost,counter;;;;;;;;
Dit is greedy weigth 5;;;;;Weigth;5;10;20
397476;;;;;;1056538,4;1110501,93;1140787,6
1330532;;;;;;;;
623777;;;;;;;;
561899;;;;;;;;
1629996;;;;;;;;
639134;;;;;;;;
673190;;;;;;;;
1124039;;;;;;;;
456538;;;;;;;;
2304999;;;;;;;;
509343;;;;;;;;
1098219;;;;;;;;
519293;;;;;;;;
1943609;;;;;;;;
1109622;;;;;;;;
1120615;;;;;;;;
1582668;;;;;;;;
769187;;;;;;;;
1423015;;;;;;;;
727890;;;;;;;;
1018752;;;;;;;;
1420779;;;;;;;;
1989385;;;;;;;;
907193;;;;;;;;
1033799;;;;;;;;
962863;;;;;;;;
986844;;;;;;;;
2081049;;;;;;;;
1188178;;;;;;;;
765656;;;;;;;;
versie,cost,counter;;;;;;;;
Dit is greedy weigth 5;;;;;;;;
versie,cost,counter;;;;;;;;
Dit is greedy weigth 5;;;;;;;;
1352079;;1056538,4;;;;;;
1389599;;;;;;;;
1207620;;;;;;;;
400259;;;;;;;;
1395332;;;;;;;;
1058117;;;;;;;;
648168;;;;;;;;
861692;;;;;;;;
1433487;;;;;;;;
1205510;;;;;;;;
1791404;;;;;;;;
1077786;;;;;;;;
1089519;;;;;;;;
697300;;;;;;;;
511410;;;;;;;;
1073555;;;;;;;;
697396;;;;;;;;
1329436;;;;;;;;
1156784;;;;;;;;
1461140;;;;;;;;
1228886;;;;;;;;
635462;;;;;;;;
1444784;;;;;;;;
600880;;;;;;;;
731211;;;;;;;;
502452;;;;;;;;
387019;;;;;;;;
2004139;;;;;;;;
1237253;;;;;;;;
681275;;;;;;;;
599471;;;;;;;;
1328941;;;;;;;;
733308;;;;;;;;
954991;;;;;;;;
966267;;;;;;;;
801868;;;;;;;;
721922;;;;;;;;
750435;;;;;;;;
1044752;;;;;;;;
958019;;;;;;;;
2095307;;;;;;;;
1207788;;;;;;;;
684009;;;;;;;;
3391867;;;;;;;;
1775205;;;;;;;;
1220954;;;;;;;;
427932;;;;;;;;
437372;;;;;;;;
522535;;;;;;;;
1011640;;;;;;;;
539380;;;;;;;;
2991283;;;;;;;;
1127262;;;;;;;;
947792;;;;;;;;
1119038;;;;;;;;
980011;;;;;;;;
808958;;;;;;;;
417499;;;;;;;;
1082426;;;;;;;;
576624;;;;;;;;
469042;;;;;;;;
782095;;;;;;;;
1342087;;;;;;;;
2003667;;;;;;;;
1101262;;;;;;;;
1312839;;;;;;;;
952098;;;;;;;;
935471;;;;;;;;
388718;;;;;;;;
637464;;;;;;;;
1703053;;;;;;;;
753130;;;;;;;;
644881;;;;;;;;
921122;;;;;;;;
1491799;;;;;;;;
2404746;;;;;;;;
559946;;;;;;;;
455872;;;;;;;;
1939379;;;;;;;;
429349;;;;;;;;
1123191;;;;;;;;
1144166;;;;;;;;
956279;;;;;;;;
992873;;;;;;;;
757643;;;;;;;;
484236;;;;;;;;
921863;;;;;;;;
1227040;;;;;;;;
968795;;;;;;;;
1431328;;;;;;;;
969847;;;;;;;;
1526726;;;;;;;;
1448677;;;;;;;;
1614329;;;;;;;;
1257292;;;;;;;;
506716;;;;;;;;
604037;;;;;;;;
1255783;;;;;;;;
612003;;;;;;;;
1107186;;;;;;;;
;;;;;;;;
;;;;;;;;
Dit is greedy weigth 10;;;;;;;;
1791788;;1110501,93;;;;;;
501366;;;;;;;;
816882;;;;;;;;
752454;;;;;;;;
1159614;;;;;;;;
521091;;;;;;;;
1196761;;;;;;;;
815822;;;;;;;;
476751;;;;;;;;
1008905;;;;;;;;
484292;;;;;;;;
684404;;;;;;;;
1273810;;;;;;;;
606526;;;;;;;;
560994;;;;;;;;
808352;;;;;;;;
3116006;;;;;;;;
762747;;;;;;;;
869006;;;;;;;;
1381222;;;;;;;;
1814274;;;;;;;;
1479241;;;;;;;;
781348;;;;;;;;
1149137;;;;;;;;
1314891;;;;;;;;
729773;;;;;;;;
1295025;;;;;;;;
887884;;;;;;;;
1043840;;;;;;;;
772657;;;;;;;;
470134;;;;;;;;
1436239;;;;;;;;
900823;;;;;;;;
1789150;;;;;;;;
1318184;;;;;;;;
771970;;;;;;;;
1168262;;;;;;;;
623561;;;;;;;;
257656;;;;;;;;
1249087;;;;;;;;
980987;;;;;;;;
860226;;;;;;;;
836029;;;;;;;;
747996;;;;;;;;
1274565;;;;;;;;
1069903;;;;;;;;
578396;;;;;;;;
1080341;;;;;;;;
518592;;;;;;;;
1399943;;;;;;;;
1369530;;;;;;;;
1567902;;;;;;;;
720984;;;;;;;;
665044;;;;;;;;
886654;;;;;;;;
1015784;;;;;;;;
1780754;;;;;;;;
1358829;;;;;;;;
1033012;;;;;;;;
1703879;;;;;;;;
1802677;;;;;;;;
1588926;;;;;;;;
3003108;;;;;;;;
792051;;;;;;;;
1035451;;;;;;;;
870481;;;;;;;;
873389;;;;;;;;
1244482;;;;;;;;
943998;;;;;;;;
765081;;;;;;;;
1246969;;;;;;;;
487586;;;;;;;;
1003211;;;;;;;;
707052;;;;;;;;
559150;;;;;;;;
1207770;;;;;;;;
1264580;;;;;;;;
1285724;;;;;;;;
870903;;;;;;;;
1333823;;;;;;;;
1586629;;;;;;;;
1447503;;;;;;;;
1446404;;;;;;;;
491212;;;;;;;;
895142;;;;;;;;
768476;;;;;;;;
816155;;;;;;;;
612369;;;;;;;;
666746;;;;;;;;
2864382;;;;;;;;
1523255;;;;;;;;
1143535;;;;;;;;
745598;;;;;;;;
641096;;;;;;;;
948455;;;;;;;;
680819;;;;;;;;
1524227;;;;;;;;
634643;;;;;;;;
